"Gateways","Платіжні канали"
"Synchronize Gateways","Синхронізувати платіжні канали"
"Save","Зберегти"
"Save and Continue Edit","Зберегти та продовжити редагування"
"Delete","Видалити"
"Edit Gateway '%1'","Редагувати платіжний канал '%1'"
"Add Gateway","Додати платіжний канал"
"Gateways Info","Інформація про платіжний канал"
"General","Загальні"
"Gateway Status","Статус каналу"
"Yes","Так"
"No","Ні"
"Gateway Currency","Валюта"
"Gateway ID","ID шлюзу"
"Bank Name","Назва банку"
"Gateway Name","Назва"
"Gateway Description","Опис"
"Gateway Sort Order","Порядок"
"Gateway Type","Тип"
"Is separated method","Вважати окремим методом оплати"
"Gateway Logo URL","URL-адреса логотипу"
"Use Own Logo","Використовувати власний логотип"
"Gateway Logo Path","Шлях до логотипу"
"Status Date","Дата останнього оновлення"
"Force Disable","Примусово вимкнути"
"Gateways Information","Інформація про платіжні канали"
"Autopay Refund","Повернення коштів Autopay"
"Email","Електронна пошта"
"Name","Назва"
"Add Receiver","Додати одержувача"
"Quick online payment","Швидка онлайн-оплата"
"This gateway no longer exists.","Цей платіжний канал більше не існує."
"The gateway has been deleted.","Платіжний канал було видалено."
"Autopay","Autopay"
"Manage Gateways","Керувати платіжними каналами"
"The gateway has been saved.","Платіжний канал було збережено."
"Gateway list has been synchronized!","Список платіжних каналів було синхронізовано!"
"Order ID is mandatory.","ID замовлення є обов'язковим."
"There is no succeeded payment transaction.","Немає жодної успішної транзакції."
"There is no such order.","Немає такого замовлення."
"Gateway ID: %1 ","ID платіжного каналу: %1 "
"Name: %1 ","Назва: %1 "
"CRON Service","Служба CRON"
"Something went wrong. Please try again later.","Щось пішло не так. Будь ласка, спробуйте ще раз пізніше."
"Passed refund amount is to high! Maximum amount of refund is %1.","Сума повернення занадто велика! Максимальна сума повернення становить %1."
"Invalid response hash!","Недійсний хеш відповіді!"
"Refunded %1. Transaction ID: ""%2""","Повернено %1. ID транзакції: ""%2"""
"Could not save Autopay Transaction entity: ","Не вдалося зберегти транзакцію Autopay: "
"Object with id ""%1"" does not exist.","Об'єкт з ID ""%1"" не існує."
"You are about to perform a refund from Autopay service. You can do full or partial refund.","Ви збираєтеся здійснити повернення коштів із сервісу Autopay. Ви можете зробити повне або часткове повернення."
"Full refund","Повне повернення"
"Partial refund","Часткове повернення"
"Refund amount","Сума повернення"
"Refund Autopay","Повернення коштів Autopay"
"Max %1","Макс. %1"
"Send","Надіслати"
"Are you sure you want to perform a refund?","Ви впевнені, що хочете здійснити повернення коштів?"
"Refund request has been successfully sent to Autopay.","Запит на повернення коштів було успішно надіслано до Autopay."
"You will be redirected to the Autopay secure service payment after submitting the order.","Після оформлення замовлення ви будете перенаправлені на безпечну платіжну сторінку Autopay."
"My billing and shipping address are the same","Моя платіжна та поштова адреси збігаються"
"Update","Оновити"
"Cancel","Скасувати"
"No online payment is available at this time. Feel free to contact us about that.","Наразі онлайн-платежі недоступні. Зв'яжіться з нами з цього приводу."
"Choose the way you want to pay.","Оберіть спосіб оплати."
"Place Order","Оформити замовлення"
"%gateways","%gateways"
"%source","%source"
"Refund type is not selected.","Не вибрано тип повернення."
"Invalid refund amount. Example of correct value: 123.23","Неправильна сума повернення. Приклад правильного значення: 123.23"
"Online payment Autopay","Онлайн-оплата Autopay"
"Enabled","Увімкнено"
"Test Mode","Тестовий режим"
"Status waiting payment","Статус для очікуваного платежу"
"Status accept payment","Статус для прийнятого платежу"
"Status error payment","Статус для помилкового платежу"
"Status full refund","Статус для повного повернення"
"Status partial refund","Статус для часткового повернення"
"Unchangeable statuses","Незмінні статуси"
"Transaction Life Hours","Термін дії платежу"
"Sort Order","Порядок сортування"
"Title","Назва"
"Enabled disabled gateways notification","Увімкнути сповіщення про вимкнення каналів"
"Disabled gateways notification Sender Name","Відправник сповіщень про вимкнення каналів"
"Disabled gateways notification Receivers","Одержувачі сповіщень про вимкнення каналів"
"Disabled gateways notification Template","Шаблон сповіщення про вимкнення каналів"
"Title Automatic Gateway","Назва автоматичного платежу"
"Iframe Payment","Оплата в iFrame"
"Google Pay merchant ID","ID продавця Google Pay"
"Autopay acceptor ID","ID акцептанта Autopay"
"Service partner ID","ID сервісу"
"Configuration key (hash)","Ключ конфігурації (хеш)"
"PLN configuration","Конфігурація PLN"
"EUR configuration","Конфігурація EUR"
"GBP configuration","Конфігурація GBP"
"USD configuration","Конфігурація USD"
"CZK configuration","Конфігурація CZK"
"RON configuration","Конфігурація RON"
"HUF configuration","Конфігурація HUF"
"BGN configuration","Конфігурація BGN"
"UAH configuration","Конфігурація UAH"
"ID","ID"
"Currency","Валюта"
"Description","Опис"
"Type","Тип"
"Logo URL","URL-адреса логотипу"
"Logo Path","Шлях до логотипу"
"Direct Payment","Пряма оплата"
"Used only for Google Pay.","Використовується лише для Google Pay."
"Orders with this statuses won't have an automatic status change.","Замовлення з цим статусом не матимуть автоматичної зміни статусу."
"Payment without redirecting to Autopay gateway","Оплата без перенаправлення на шлюз Autopay"
"Payment without redirecting to Autopay gateway. In order to activate, <a href=""https://developers.google.com/pay/api/web/guides/test-and-deploy/integration-checklist#request-production-access"" target=""_blank"">contact Google for <i>merchant ID</i></a> and fill field below and acceptor ID for specific currencies.","Оплата без перенаправлення на шлюз Autopay. Для активації <a href=""https://developers.google.com/pay/api/web/guides/test-and-deploy/integration-checklist#request-production-access"" target=""_blank"">зверніться до Google за <i>ID продавця</i></a> та заповніть поле нижче та ID акцептанта Autopay для відповідних валют."
"Stored payment cards","Збережені платіжні картки"
"Are you sure you want to delete this card: ","Ви впевнені, що хочете видалити цю картку: "
"Payment card was successfully removed.","Платіжну картку було успішно видалено."
"Wrong request.","Неправильний запит."
"Wrong card index.","Неправильний індекс картки."
"Deletion failure. Please try again.","Помилка видалення. Спробуйте ще раз."
"You have no stored payment cards.","У вас немає збережених карток."
"Autopay Agreement","Угода про автоматичні платежі"
"Show all","Показати всі"
"Collapse","Згорнути"
"Collapsible gateway list","Згортаний список каналів"
"Payment Channel","Платіжний канал"
"Show waiting page before redirect","Показати сторінку очікування перед перенаправленням"
"Seconds to wait before redirect","Секунди очікування перед перенаправленням"
"How many second wait on intermediate page, before redirect to Autopay payment.","Скільки секунд чекати на проміжній сторінці, перш ніж перенаправити на оплату Autopay."
"Show manual Autopay refund in order details","Показати ручне повернення коштів Autopay у деталях замовлення"
"Show payment gateways in store","Показати платіжні канали в магазині"
"Yes (whitelabel)","Так (whitelabel)"
"No (redirect to paywall)","Ні (перенаправлення на paywall)"
"You have to select payment card.","Ви повинні вибрати платіжну картку."
"You have to agree.","Ви повинні погодитися."
"Add new card","Додати нову картку"
"Request timed out. Please try again or use a different payment method.","Час очікування запиту минув. Спробуйте ще раз або скористайтеся іншим способом оплати."
"The BLIK code has expired. Try again.","Термін дії коду BLIK минув. Спробуйте ще раз."
"Invalid BLIK code.","Недійсний код BLIK."
"Waiting for the confirmation of the transaction.","Очікування підтвердження транзакції."
"Confirm BLIK transaction","Підтвердити транзакцію BLIK"
"Confirm the payment in your bank's app.","Підтвердіть платіж у додатку вашого банку."
"-- Do not change status --","-- Не змінювати статус --"
"Link to continue payment","Посилання для продовження платежу"
"Click here to continue payment","Натисніть тут, щоб продовжити платіж"
"Quick payment","Швидка оплата"
"Internet transfer","Банківський переказ"
"Internet transfer, BLIK, payment card, Google Pay, Apple Pay","Банківський переказ, BLIK, платіжна картка, Google Pay, Apple Pay"
"Anonymize IP","Анонімізувати IP"
"To create a new secret, navigate in the Google Analytics UI - Admin > Data Streams > choose your stream > Measurement Protocol > Create","Щоб створити новий секрет, перейдіть до Google Analytics - Адміністрування > Потоки даних > виберіть потік > Секретні ключі API Measurement Protocol > Створити"
"Minimum payment amount","Мінімальна сума платежу"
"Maximum payment amount","Максимальна сума платежу"
"Pay later","Оплатити пізніше"
"Buy now and pay within 30 days. %1","Купуйте зараз і платіть протягом 30 днів. %1"
"Learn more","Дізнатися більше"
"At the top of the page","У верхній частині сторінки"
"Under the navigation","Під навігацією"
"On the product list","У списку товарів"
"On the product page under the buttons","На сторінці товару під кнопками"
"In the shopping cart under the products","У кошику під товарами"
"Why promote?","Навіщо просувати?"
"More sales","Більше продажів"
"Fewer abandoned shopping carts","Менше покинутих кошиків"
"More customers","Більше клієntів"
"Customers are more likely to decide to buy products, even at a higher price, if they can pay later or spread the repayment in installments.","Клієнти з більшою ймовірністю вирішать купувати товари, навіть за вищою ціною, якщо вони зможуть заплатити пізніше або розстрочити платіж."
"PAY LATER","ОПЛАТИТИ ПІЗНІШЕ"
"Buy now and pay within 30 days","Купуйте зараз і платіть протягом 30 днів"
"INSTALLMENTS","РОЗСТРОЧКА"
"Up to 48 installments","До 48 платежів"
"TAILORED INSTALLMENTS","ІНДИВІДУАЛЬНА РОЗСТРОЧКА"
"Buy on tailored installments","Купуйте в індивідуальну розстрочку"
"Autopay Online Payment","Онлайн-оплата Autopay"
"How to get started?","Як почати?"
"Create a free account on the site.","Створіть безкоштовний обліковий запис на сайті."
"Register","Зареєструватися"
"Enter your company details and confirm them with a verification transfer.","Введіть дані своєї компанії та підтвердіть їх верифікаційним переказом."
"Set up payments in your store.","Налаштуйте платежі у своєму магазині."
"about implementing payments in your store.","про впровадження платежів у вашому магазині."
"Fee only 1,19% + 0,25 zł.","Комісія лише 1,19% + 0,25 PLN."
"Prepare store regulations 10% off.","Підготуйте правила магазину зі знижкою 10%."
"Display the channel as a separate payment method. Payment card, Google Pay, Apple Pay, BLIK and installments channels must always be separated.","Відображати канал як окремий спосіб оплати. Канали платіжної картки, Google Pay, Apple Pay, BLIK та розстрочки завжди повинні бути розділені."
"Installments and payment card channels have a static channel name.","Канали розстрочки та платіжної картки мають статичну назву каналу."
"You will be redirected to the page of the selected bank.","Вас буде перенаправлено на сторінку обраного банку."
"Disable payment continuation link when transaction expires","Вимкнути посилання на продовження платежу після закінчення терміну дії транзакції"
"Link available in order confirmation e-mail and in order detail in customer account will be expired after reaching Transaction Life Hours set above.","Посилання, доступне в електронному листі з підтвердженням замовлення та в деталях замовлення в обліковому записі клієнта, закінчиться після досягнення вищевказаного терміну дії платежу."
"Invalid hash for order","Недійсний хеш для замовлення"
"Transaction is expired. Place order again.","Термін дії транзакції минув. Зробіть замовлення ще раз."
"An error occurred while generating the transaction.","Під час генерації транзакції сталася помилка."
"It allows you to check the module without paying for the order (no order payments are charged in test mode).","Це дозволяє вам перевірити модуль, не оплачуючи замовлення (у тестовому режимі плата за замовлення не стягується)."
"Partner's website ID and Shared key are different for production and testing environment.","ID веб-сайту партнера та спільний ключ відрізняються для виробничого та тестового середовища."
"To get the data for the test environment,","Щоб отримати дані для тестового середовища,"
"contact us","зв'яжіться з нами"
"Spingo","Spingo"
"Deferred payment for businesses","Відстрочка платежу для бізнесу"
"Enter BLIK code","Введіть код BLIK"
"If your computer doesn't come preloaded with a TouchID reader, you'll authorize payments with your iPhone or Apple Watch, as long as they're logged into the same AppleID account as your computer.","Якщо ваш комп'ютер не оснащений попередньо встановленим зчитувачем TouchID, ви будете авторизовувати платежі за допомогою iPhone або Apple Watch, за умови, що вони увійшли в той самий обліковий запис AppleID, що й ваш комп'ютер."
"More information about payment","Більше інформації про оплату"
"Apple Pay in the browser.","Apple Pay у браузері."
"Activation","Активація"
"You choose the BLIK Płacę Później option, enter your BLIK code and we offer you up to a 4 000 zł limit on your purchases.","Ви обираєте опцію BLIK Оплатити пізніше, вводите свій код BLIK, і ми пропонуємо вам ліміт до 4 000 PLN на ваші покупки."
"Purchases","Покупки"
"You buy products that you do not pay for at the time of purchase. You have time to check that everything suits you.","Ви купуєте товари, за які не платите під час покупки. У вас є час перевірити, чи все вам підходить."
"After each purchase","Після кожної покупки"
"You pay within 30 days at no extra cost. You can also return your purchase within the period provided by the shop.","Ви платите протягом 30 днів без додаткових витрат. Ви також можете повернути покупку протягом терміну, передбаченого магазином."
"Representative example","Репрезентативний приклад"
"Expand","Розгорнути"
"Start transaction with phone number","Розпочати транзакцію з номером телефону"
"Requires configuration on the Autopay side. ENABLE ONLY AT THE REQUEST OF THE SUPPORT TEAM.","Потребує налаштування на стороні Autopay. ВМИКАТИ ЛИШЕ ЗА ЗАПИТОМ СЛУЖБИ ПІДТРИМКИ."
"Asynchronous process ITN","Асинхронний процес ITN"
"This setting enables asynchronous processing of ITN notifications sent by the Autopay system after a transaction is completed. Enabling this option means that ITN notifications will be processed in the background, which can be useful in scenarios with higher loads or specific requirements related to handling notifications.<br><br><strong>Note:</strong> This option should only be selected by individuals who fully understand how asynchronous ITN processing works and the potential implications for the store’s operation. Incorrect configuration of this setting may lead to issues with transaction handling.<br>More information in <a href=""https://developers.autopay.pl/online/wtyczki/magento-2"" target=""_blank"">module documentation</a>.","Це налаштування дозволяє асинхронно обробляти сповіщення ITN, що надсилаються системою Autopay після завершення транзакції. Увімкнення цієї опції означає, що сповіщення ITN будуть оброблятися у фоновому режимі, що може бути корисно у сценаріях з вищим навантаженням або специфічними вимогами до обробки сповіщень.<br><br><strong>Примітка:</strong> Цю опцію слід обирати лише особам, які повністю розуміють, як працює асинхронна обробка ITN та які можуть бути наслідки для роботи магазину. Неправильна конфігурація цього налаштування може призвести до проблем з обробкою транзакцій.<br>Більше інформації в <a href=""https://developers.autopay.pl/online/wtyczki/magento-2"" target=""_blank"">документації модуля</a>."
"Refund requested. Message ID: ""%1""","Запит на повернення коштів. ID повідомлення: ""%1"""
"Order not found","Замовлення не знайдено"
"Refund error","Помилка повернення коштів"
"Error code: %1 (%2)","Код помилки: %1 (%2)"
"Refund failed. Try again or contact Autopay technical support. (Order: %1, Message ID: %2)","Повернення коштів не вдалося. Спробуйте ще раз або зверніться до технічної підтримки Autopay. (Замовлення: %1, ID повідомлення: %2)"
"Gateway Short Description","Короткий опис шлюзу"
"Use Base Currency for Transactions","Використовувати базову валюту для транзакцій"
"Choose whether to use order currency or base currency for transactions.","Виберіть, чи використовувати валюту замовлення чи базову валюту для транзакцій."
